row,tier,sector,company,location,trigger,what_to_sell,contact_route,evidence_quality
111,Tier 1,"Healthcare, pharma and medical communications",OrthoMed Anesthesia,"US, remote","Live posting: graphic designer ""on an as-needed basis"" for social and short-form video, described as a flexible contract.","Small retainer. Low ceiling, low friction, fast yes or no.",Direct application,Medium
112,Tier 1,"Healthcare, pharma and medical communications",Uptalent.io (client is a pharma or consulting firm),Remote,Two live postings: Graphic Designer for Corporate Brochure (Consulting/Pharma Experience Preferred). Print design and pharma experience named.,"Brochures, which is on your service list and rarely the thing anyone else pitches.",Uptalent platform,Medium
113,Tier 1,SaaS and technology,Nexxen,"New York or Los Angeles, six-month fixed term","Live posting: Brand Designer (Contract), six months, Marketing and Communications team. One requirement is stated outright: the ability to ""design PowerPoint presentations and research reports that are both brand-consistent and visually engaging"". 3 to 5 years, B2B SaaS preferred.",Decks and research reports. They wrote your job description for you.,"Ashby and Greenhouse postings, then the Marketing Communications lead",Strong
114,Tier 1,SaaS and technology,WITHIN,"Indianapolis, remote, USA","Live posting titled Pitch Deck Designer (Freelancer), USA. Work is with ""new business and account teams"", building ""deck design templates"".","Exactly what you do, under the exact title. If you send one message this week, send it here.","Greenhouse board agencywithin, plus the LinkedIn posting",Strong
115,Tier 1,SaaS and technology,Toloka AI,"Remote, part time","Live posting: Freelance Presentation Designer, 10 to 20 hours a week, up to $40 an hour. Scope is ""premium presentations, pitch decks, and one-pagers"", turning ""raw data and narratives into compelling, highly persuasive slides"".","Decks and one-pagers on a standing part-time basis. Rate is modest, the volume is steady.",Job board application,Strong
116,Tier 1,SaaS and technology,Bringg,Remote,"Live posting: Marketing Designer, Freelance. Asks for AI design tool experience alongside Figma, and B2B or enterprise go-to-market familiarity.","Marketing collateral plus your AI production workflow, which they have explicitly asked about.",Greenhouse posting,Strong
117,Tier 1,SaaS and technology,appflame,Remote,"Live posting: Senior Brand Designer (Freelance). Core tools listed include Keynote and Google Slides alongside Figma, plus ""AI tools for ideation and scaling design"".","Brand plus presentation, with the AI angle up front.",Job board application,Strong
118,Tier 1,SaaS and technology,Motiio,"Remote, part time","Live posting: Freelance Designer supporting ""upcoming B2B SaaS video projects"", requiring Adobe Creative Suite, Figma and Google Slides.",Slide and motion work for SaaS clients.,Job board application,Medium
119,Tier 1,SaaS and technology,Cro Metrics,"Remote, US","Live posting: Designer, Production and Brand, described as ""contract, 1099 position (long-term fractional, with potential for full-time conversion)"", supporting creative across their client roster.",Long-term fractional across many clients at once. Best retainer shape on this list.,Job board application,Strong
120,Tier 1,SaaS and technology,Navan,Remote,"Live posting: Freelance Brand Designer, covering ""digital and print assets, social graphics, presentations"". Navan also appeared in the August research with the same pattern, so this is a repeat behaviour rather than a one-off.",Presentations and print inside an established freelance habit.,"Built In and freehire postings, then the Brand Design lead",Strong
121,Tier 1,SaaS and technology,Blitzy,Remote,Live posting: Graphic Designer.,"Early-stage collateral. Worth one message, not three.",Job board application,Medium
122,Tier 1,SaaS and technology,Acxelsus,Remote,Live posting: Presentation Designer.,Outsourced presentation capacity.,Job board application,Medium
123,Tier 1,"Fintech, banking and insurance",fino data services GmbH,"Germany, remote","Live posting dated 8 September 2026: Freelance Graphic and Motion Designer, project-based, for explainer videos, ads and landing pages for a German fintech marketing team.","Motion and campaign work. Ten days old at time of writing, which is as fresh as cold outreach gets.","Job board application. Note: Germany, so opt-in email rules apply. LinkedIn is the safer route.",Strong
124,Tier 1,"Fintech, banking and insurance",Bnk To The Future,Remote,"Live posting: Graphic and Web Designer, requiring 4+ years and ""presentation designs using Keynote"", preferring fintech marketing background.",Keynote decks for a fintech audience.,Job board application,Strong
125,Tier 1,"Fintech, banking and insurance",Splash Financial,"Remote, US","Live posting: Senior Product Designer (Contract), explicitly ""a 1099 independent contractor role with a 6-month duration and potential extension"".","They contract designers as a matter of policy. Even if this role is not yours, the buying behaviour is proven.","Greenhouse posting, then the Design lead",Strong
126,Tier 1,"Fintech, banking and insurance",Flex,"Remote, US","Live posting: Staff Product Designer (Contract) at ""$125 to $200 per hour, commensurate with experience"". Growth-stage fintech in rent payments.","Not deck work, but the rate card tells you what this company thinks good contract design costs. Useful anchor.",Greenhouse posting,Strong
127,Tier 1,"Fintech, banking and insurance",Mercury,US,"Live posting: Senior Brand Designer covering ""growth and performance creative"", brand initiatives and creative strategy.","Campaign and brand overflow. Full-time posting, so pitch as capacity alongside the hire, not instead of it.","Careers page, then the Brand lead",Medium
128,Tier 1,"Fintech, banking and insurance",Skeps,US,Live posting: Senior Marketing Designer.,Sales and marketing collateral for a lending infrastructure company.,Job board application,Medium
129,Tier 1,"Fintech, banking and insurance",Sezzle,US,Live posting: Graphic Designer. Public company in buy-now-pay-later.,Marketing collateral and investor-facing materials.,"Careers page, then Marketing",Medium
130,Tier 1,"Fintech, banking and insurance",Cedar,New York,"Live posting: Sr. Brand Designer. Cedar sits in healthcare payments, so it counts on two of your three target sectors.",Brand and collateral overflow at a company that straddles health and fintech.,"Built In NYC posting, then the Brand lead",Medium
131,Tier 1,"Fintech, banking and insurance",CK Funded,Remote,"Live posting: Graphic Designer wanting ""visual storytelling especially within the forex trading or fintech industry"", covering marketing materials and video.","Trading and forex creative, a niche with steady deck demand.",Job board application,Medium
132,Tier 1,"Fintech, banking and insurance","A Singapore bank, hiring through Recruit Express",Singapore,Live posting: Bank Graphic and Presentation Designer (1 Year). A twelve-month contract for presentation design inside a bank.,"Long contract, presentation-specific, in a market with far fewer freelance deck specialists competing.",Recruit Express Pte Ltd,Strong
133,Tier 1,"Fintech, banking and insurance",Revolut,Remote,"Live posting: Sales Enablement Instructional Designer, ""transforming complex product information and sales methodologies into clear, actionable content"".","Sales enablement content, which is deck work under a different name.","Careers page, then Sales Enablement",Medium
134,Tier 2,Healthcare agencies and med comms,EVERSANA and EVERSANA INTOUCH,13 offices plus remote,"Global life-sciences marketing network. Live remote Motion Graphics Designer posting. Their platform combines ""creative, digital, medical communications, data, and market access"". Named clients include AstraZeneca, Genentech, Johnson & Johnson Innovative Medicine and Daiichi Sankyo.","Overflow deck and congress capacity. Named clients mean named brand guidelines, which is exactly the work agencies hate doing in-house.",Studio or Creative Operations lead per office,Medium
135,Tier 2,Healthcare agencies and med comms,Inizio Evoke,40+ countries,"Med comms, brand strategy, market access, patient engagement, medical affairs. Active hiring.",Overflow across geographies. Large enough that one office saying no means nothing about the next.,"Creative Services lead, by office",Medium
136,Tier 2,Healthcare agencies and med comms,Real Chemistry,"US, global",Global healthcare communications and marketing agency serving top pharma and biotech. Live Product Designer posting.,Presentation and report overflow.,Creative Operations,Medium
137,Tier 2,Healthcare agencies and med comms,Lumanity,"US, UK",Pharmaceutical launch and commercialisation support. Deck-heavy by the nature of the work.,"Market access decks, value dossiers, congress materials.",Creative or Studio lead,Weak
138,Tier 2,Healthcare agencies and med comms,Klick Health,Toronto,"Two live presentation-design postings: Presentation Designer, Medical at CAD $70,000 to $80,000, described as ""a newly created role"", and Junior Presentation Designer, Summer 2026, which names ""using AI tools to support creative exploration for pitch and presentation work"".","Careful here. A newly created role means they are building this in-house, so do not pitch as a replacement. Pitch as overflow while the role is unfilled, and lead with the AI production angle they have already said they care about.","Creative Operations, not the hiring manager",Strong
139,Tier 2,Healthcare agencies and med comms,Clarity Quest,US,"Describes itself as a full-stack marketing agency for B2B healthcare technology and biotechnology, offering visual identity and graphic design. Operating since 2001.",Visual identity and collateral overflow for healthtech clients.,"Agency principal. Small firm, so the owner reads the inbox.",Medium
140,Tier 2,Healthcare agencies and med comms,Nucleus Holdings,"UK, global",Named in 2026 med comms agency roundups as a launch and commercialisation specialist.,Congress and launch deck capacity.,Studio lead,Weak
141,Tier 2,Healthcare agencies and med comms,Bioscript Group,UK,"Same roundups, medical communications.",Scientific deck and poster capacity.,Studio lead,Weak
142,Tier 2,Healthcare agencies and med comms,Aptitude Health,"US, Europe","Same roundups, oncology-weighted med comms.",Oncology congress materials.,Studio lead,Weak
143,Tier 2,Cross-sector agencies and studios,100PitchDecks,"Remote, international","Hiring Senior and Middle-Senior Graphic/Web Designer for ""pitch decks, investor presentations, brand assets and landing pages"" serving international startups. Core tools named as Keynote, PowerPoint, Google Slides and Figma.",Pure white-label deck production. Their entire business is your service.,"Direct application, then the founder",Strong
144,Tier 2,Cross-sector agencies and studios,Interbrand,Global,Live posting: Freelance Brand Design Talent. An open call rather than one role.,"Roster registration at a top-tier brand consultancy. Worth doing once, properly.",Their freelance talent posting,Strong
145,Tier 2,Cross-sector agencies and studios,Dentsu Creative,"US, global","Live posting: Freelance Marketing Graphic Designer, described as a contract role running August to December.",Seasonal overflow at a holding-company agency.,Freelance or Resourcing manager,Strong
146,Tier 2,Cross-sector agencies and studios,Blackridge Group,Fully remote,"Live posting: Freelance Graphic and Brand Designer, Full Remote.",Roster registration.,Branding-jobs posting,Medium
147,Tier 3,Healthcare,Dana-Farber Cancer Institute and The Jimmy Fund,Boston,"Both debuted new visual identities in September 2026. Two identities launched together, one of them a fundraising brand.","Donor decks, sponsorship proposals, impact reporting, event collateral. A fundraising arm mid-rebrand needs proposal design urgently and has a calendar it cannot move.",Marketing or Brand lead at the Jimmy Fund side first. Fundraising moves faster than the institute.,Strong
148,Tier 3,Healthcare,Oneview Healthcare,"Ireland, US, Australia","Brand identity refresh with new logo launched May 2026, positioned around patient-centred and connected care.",Sales decks and one-pagers rebuilt on the new identity. Four months post-launch is exactly the right window.,Head of Marketing,Strong
149,Tier 3,Healthcare,NextGen Healthcare,US,"New brand identity launched April 2026, framed around ""simplifying the business of healthcare"" for ambulatory practices.",Sales collateral and partner decks for a large ambulatory customer base.,Brand or Product Marketing lead,Strong
150,Tier 3,Fintech,The Bancorp,US,"New brand unveiled at a Nasdaq opening-bell ceremony on 13 January 2026, positioned around fintech partnership plus payments and lending.","Partner-facing decks and lending collateral. Eight months in, so the easy work is done and the long tail is showing.",Marketing Communications,Strong
151,Tier 3,Fintech,Skyro,"Philippines, expanding internationally","Refreshed visual identity began rolling out 15 September 2026, app first in the Philippines, ""ahead of a wider rollout across all markets"". Shifting from consumer loans to a multi-product financial ecosystem.",Three days old at time of writing. The market-by-market rollout means the collateral problem repeats in every new market. Get in before it does.,Brand or Marketing lead,Strong
152,Tier 3,Fintech,CardWorks Financial Group,US,"Rebranded from CardWorks, Inc., ""unifying its businesses under a new visual identity"".","Multiple business units being pulled under one identity means template systems, which is high-value repeatable work.",Marketing lead,Strong
153,Tier 3,Fintech,FINNY AI,US,"Brand refresh with updated logo, refined wordmark and new colour palette, aimed at advisor growth.","Small company, new palette, investor and advisor decks to rebuild.",Founder or Head of Marketing. Small enough that the founder answers.,Strong
154,Tier 3,SaaS,Ticketsolve,"Ireland, UK","Refined visual system and messaging to reposition ""from ticketing software to growth partner for arts and culture organisations"".","Repositioning means every sales deck argues a new case. That is narrative work, not just visual work, and it pays better.",Marketing lead,Medium
155,Tier 3,SaaS,Pretzl,UK,"New company that emerged from Velocity Partners in 2026, combining strategic narrative with AI-enabled customer intelligence.",A brand-new B2B brand with narrative at its centre and no design history.,Founder,Medium
156,Tier 4,"Healthcare, digital health, medtech",Arintra,US,"$25m Series B, August 2026. AI-driven revenue assurance. Investors include Define Ventures, Peak XV Partners, YNHH Center for Health Care Innovation and Endeavor Health Ventures.","Hospital-facing sales decks. Their buyer is a revenue-cycle executive, which means ROI slides, and ROI slides are where most healthtech decks fall apart.",Founder or Head of Marketing,Strong
157,Tier 4,"Healthcare, digital health, medtech",Happy Health,US,"$75m round, 2026.",Consumer health brand and campaign work.,"Head of Brand if one exists, founder if not",Medium
158,Tier 4,"Healthcare, digital health, medtech",Tandem Health,Sweden,"$100m Series B, September 2026.",Clinical documentation AI expanding across Europe. Multi-market sales collateral.,"Head of Marketing. Sweden, so LinkedIn over email.",Medium
159,Tier 4,"Healthcare, digital health, medtech",Penelope Health,Europe,"EUR 87m raise, alongside an infrastructure integration with Thoreau covering payer rules, claims processing and clinical revenue-cycle intelligence across European provider networks.",Provider-facing decks in several languages.,Marketing lead,Medium
160,Tier 4,"Healthcare, digital health, medtech",Lila Sciences,"Cambridge, Massachusetts","$235m Series A, September 2026. Scientific superintelligence platform for life sciences, chemistry and materials. Investors include General Catalyst, Flagship Pioneering, Catalio, Alumni Ventures and NVentures.","A two-year-old company with a $235m Series A has an explaining problem, not a marketing problem. Scientific narrative decks for investors, partners and recruits.",Founder or Chief of Staff,Strong
161,Tier 4,"Healthcare, digital health, medtech",Stipple Bio,US,"$100m Series A, reported as the largest healthtech Series A of 2026, led by Jeff Landau.","Same as above. Large Series A, young company, complex science.",Founder,Medium
162,Tier 4,"Healthcare, digital health, medtech",eMed,US,"$200m Series A, Q1 2026. Employer-focused telehealth.",Employer sales decks and benefits one-pagers. Employer-sold health products live and die on the one-pager.,Head of Marketing,Medium
163,Tier 4,"Healthcare, digital health, medtech",CurifyLabs,Finland,"$14m Series A, 2026. Pharmacy compounding technology.","Regulated-market sales collateral, European.",Founder,Medium
164,Tier 4,"Healthcare, digital health, medtech",01Health,Europe,"$15m Series A, June 2026.","Early-stage collateral, three months post-raise.",Founder,Medium
165,Tier 4,"Healthcare, digital health, medtech",SOPHiA GENETICS,Switzerland,"Live Senior Platform Designer posting for ""regulated HealthTech and MedTech environments where users are domain experts"". Publicly listed genomics company.","They design for expert users, which means data-dense slides. That is a specialism, and you can charge for it.",Design or Marketing lead,Medium
166,Tier 4,"Fintech, payments and insurance",Yuno,"Colombia, global","$45m Series B, August 2026, led by Global PayTech Ventures. Capital named for international expansion and the move to profitability.","Payment orchestration sells to enterprise merchants. Enterprise sales decks, per market.",Head of Marketing,Strong
167,Tier 4,"Fintech, payments and insurance",dtcpay,Singapore,"Series A extended to $25m, September 2026. Bridges stablecoins and traditional finance. Capital named for a revamped enterprise business portal and consumer updates.","Enterprise onboarding decks and product one-pagers. Named the exact projects the money funds, which is unusually useful.",Head of Marketing or founder,Strong
168,Tier 4,"Fintech, payments and insurance",Luzern Risk,Europe,"$45m Series B, September 2026. Full-service captive manager in alternative risk.",Captive insurance is sold through explanation. Broker and client decks.,Marketing lead,Strong
169,Tier 4,"Fintech, payments and insurance",Starpeak,UK,"Backed by August Equity, 21 August 2026. InsurTech managing general agent.",Broker-facing collateral. Private-equity backing usually comes with a brand refresh mandate inside year one.,Marketing lead,Medium
170,Tier 4,"Fintech, payments and insurance",Knight FinTech,India,$23.6m Series A led by Accel. Banking technology.,Bank-facing sales decks.,Founder or Marketing lead,Medium
171,Tier 4,"Fintech, payments and insurance",Equal Parts,US,"$23m Series A, February 2026. InsurTech platform.",Sales and partner collateral.,Founder,Medium
172,Tier 4,"Fintech, payments and insurance",ViteSicure,Italy,"EUR 2.5m Series A, May 2026.","Small round, small company, Italian-language collateral. Realistic project size.",Founder,Medium
173,Tier 4,"Fintech, payments and insurance",Enzo,Germany,"EUR 4m, January 2026. German InsurTech scaling technology.","Early-stage German insurance collateral. Opt-in jurisdiction, so LinkedIn only.",Founder,Medium
174,Tier 4,"Fintech, payments and insurance",Fintary,US,$10m Series A. AI InsurTech.,Commission and reconciliation products need explaining. Decks and one-pagers.,Founder,Medium
175,Tier 4,"Fintech, payments and insurance",Savvy Wealth,US,"$100m round, September 2026. Wealth management technology.","Advisor recruitment decks. Their growth depends on recruiting advisors, and recruitment is a pitch.",Head of Marketing,Medium
176,Tier 4,"Fintech, payments and insurance",Rillet,US,"$100m Series C, August 2026, following a $70m Series B and a $25m Series A. Total over $200m. AI-native ERP.",Series C means enterprise sales motion and an analyst-relations habit. Both are deck-heavy.,Head of Marketing,Strong
177,Tier 4,"Fintech, payments and insurance",MIND,"US, Israel","$72m Series B, 18 September 2026. AI-native data loss prevention.","Security sales decks, which are the most template-driven category in B2B and the most often outsourced.",Head of Marketing,Strong
178,Tier 5,Sector events,HLTH USA 2026,"15 to 18 November 2026, Las Vegas","950+ sponsors and exhibitors, reaching 12,250+ healthcare decision makers",Published sponsor and exhibitor list. Work it from late September. Every one of those companies has a booth deadline and a meeting-deck gap.,Sponsor and exhibitor list,Strong
179,Tier 5,Sector events,ViVE 2027,"14 to 17 March 2027, Nashville","Digital health decision makers, sponsorship brochure gated behind a form",Exhibitor list published early. January and February is the window.,Sponsor and exhibitor list,Strong
180,Tier 5,Sector events,Fintech Meetup 2027,2027,Describes itself as running the largest meetings programme in fintech,"The whole event is scheduled one-to-one meetings, which means every attendee needs a short, sharp deck. Unusually good fit.",Sponsor and exhibitor list,Strong
181,Tier 5,Sector events,Money20/20,"US, Europe, Asia and Middle East editions",Multiple regional editions per year,Regional editions mean the same exhibitor needs regional collateral. Repeat business built in.,Sponsor and exhibitor list,Medium
182,Tier 5,Sector events,"JP Morgan Healthcare Conference orbit, January","January 2027, San Francisco",The single densest week of healthcare investor presentations in the year,"Every presenting company rebuilds its investor deck in December. Pitch in late October and November. Hard deadline, high stakes, and the reason deck freelancers get booked out that month.",Sponsor and exhibitor list,Medium
