id,segment,prospect,type,location,buying_trigger,trigger_date,what_to_sell,contact_role,channel,priority,status,notes
13,A - Hiring signal,Maya HTT,Engineering simulation software & services,"Montreal, Canada",Listed among companies hiring presentation designers,Aug 2026,Technical sales decks; engineering data viz,Marketing Director,LinkedIn,Low,,
14,A - Hiring signal,Bellweather Agency,Marketing agency,US,Listed among companies hiring presentation designers,Aug 2026,New business decks; client deliverable design,Creative Director,LinkedIn,Low,,
15,B - Agency white-label,SlideGenius,Presentation design agency (5000+ pitch decks),"San Diego, CA",Publicly hiring PowerPoint designers; explicitly open to remote,2026,White-label deck production,Creative Director / Talent,Email resumes@slidegenius.com,High,,WARMEST DOOR IN SEGMENT
16,B - Agency white-label,Buffalo7,Presentation specialists (Facebook / UEFA Champions League / BBC),"Leeds, UK",Enterprise deck work at volume; UK timezone,2026,White-label deck production,Design Director / Studio Manager,LinkedIn,High,,
17,B - Agency white-label,24Slides,Presentation design company,Denmark + Indonesia,Built on distributed production; structurally absorbs external designers,2026,White-label deck production,Production Lead,LinkedIn + Email,High,,
18,B - Agency white-label,Ink Narrates,Presentation design agency,"Mumbai, India",Outsourced presentation design is a named service line,2026,Senior deck production capacity,Founder / Design Lead,LinkedIn,High,,
19,B - Agency white-label,Superside,Creative-as-a-Service (750 people / 72 countries / 450+ brands),"Wilmington, DE (remote)",Fully remote global contractor network; presentation design a named service,2026,Presentation production capacity,Talent / Creative Ops,LinkedIn,High,,~$5000/mo enterprise tier
20,B - Agency white-label,Design Pickle,Unlimited design subscription (Yahoo / Amazon / McGraw Hill / 7-Eleven),"Scottsdale, AZ",Daily-creative-hours model depends on deep designer bench,2026,Presentation production,Talent Acquisition / Creative Ops,LinkedIn,Medium,,~$1918/mo min + platform fee
21,B - Agency white-label,ManyPixels,Design subscription (dedicated designer from $1299/mo),Remote / Singapore,Dedicated-designer product only scales by recruiting designers,2026,Presentation production,Design Ops,LinkedIn,Medium,,
22,B - Agency white-label,Penji,Unlimited graphic design service,"Camden, NJ",Volume production model; presentation work in scope,2026,Presentation production,Creative Ops,LinkedIn,Medium,,
23,B - Agency white-label,Kimp,Design subscription (from $699/mo promo; then $1397),Remote / Canada,Dedicated-team model; constant designer demand,2026,Presentation production,Design Lead,LinkedIn,Medium,,
24,B - Agency white-label,Designity,Creative-as-a-Service with vetted US creative community,"New York, NY",Curated creative network - joining it is the business model,2026,Presentation production,Community / Talent Lead,LinkedIn,Medium,,
25,B - Agency white-label,Awesomic,Designer-matching subscription,Remote (US/Ukraine),Matches designers to clients; onboarding designers is core ops,2026,Presentation production,Talent Lead,LinkedIn,Medium,,
26,B - Agency white-label,Slidebean,Pitch deck platform + agency ($500M+ raised by clients),"San Jose, Costa Rica",Agency arm needs deck designers; huge startup client flow,2026,Deck production,Head of Agency Services,LinkedIn,Medium,,
27,B - Agency white-label,Pitch Deck Fire,Investor-deck specialists (founded by ex-founders),"Remote, US",Narrow specialism; project-based load; freelance-friendly,2026,Deck production,Founder / Creative Lead,LinkedIn,Medium,,
28,B - Agency white-label,Pitchfast,Pitch deck agency ($250M+ raised; 4.9/5 from 400+ reviews),Remote,High review volume implies high throughput and overflow,2026,Deck production,Founder,LinkedIn,Medium,,
29,B - Agency white-label,Arounda,Design & product partner (250+ projects; SaaS/Fintech/AI/Web3/Health),"Kyiv, Ukraine / remote",Pitch decks one line of broad menu - classic subcontracting profile,2026,Deck production,Design Director,LinkedIn,Medium,,
30,B - Agency white-label,Zyner,Startup design subscription (320+ startups; multiple YC cohorts),Remote,Flat-subscription model needs bench depth,2026,Deck production,Founder / Design Lead,LinkedIn,Medium,,
31,B - Agency white-label,VisualHackers,Presentation & pitch deck agency,Europe,Specialist deck shop at freelance-friendly scale,2026,Deck production,Founder,LinkedIn,Low,,
32,B - Agency white-label,Prezent,Enterprise presentation platform + services,"Los Altos, CA",Enterprise services layer needs human designers behind the product,2026,Enterprise deck production,Head of Design Services,LinkedIn,Low,,
33,B - Agency white-label,Presentation Depot,PowerPoint outsourcing for investment banks / consulting / hedge funds,US,Purpose-built outsourcing shop (pitchbooks / board decks / investor slides),2026,Pitchbook and deck production,Operations / Production Manager,Email + LinkedIn,Medium,,"""McKinsey-standard slide production"""
34,B - Agency white-label,Williams Lea,BPO for financial & professional services (RR Donnelley subsidiary),London / global,High-volume pitchbooks and presentations; permanently capacity-constrained,2026,Pitchbook production,Creative Services Manager,LinkedIn,Medium,,
35,B - Agency white-label,Evalueserve,Knowledge-process outsourcing (600+ clients; Pitchready/Pitchsmart),Gurugram / global,Analyst pods produce branded pitch decks in 24-72h at industrial volume,2026,Pitchbook production,Presentation Services Lead,LinkedIn,Medium,,
36,C - Funded startup,Bespoke Labs,Environments to train/evaluate long-horizon AI agents,"San Francisco, CA",$40M Series A led by Wing VC,6 Jul 2026,Technical sales decks; developer one-pagers; benchmark data viz,Alex Dimakis / Mahesh Sathiamoorthy (co-founders),LinkedIn,High,,Seed led by 8VC
37,C - Funded startup,Paper,Design platform for agentic AI,"San Francisco, CA",$34M Series A co-led by Accel and Iconiq,Jul 2026,Product launch decks; brand collateral,Head of Marketing,LinkedIn,Medium,,Design company - lead with craft
38,C - Funded startup,Maximum,AI-native OS replacing legacy bank cores,"Miami, FL",$30M Seed led by CRV,3 Aug 2026,Enterprise bank-buyer decks; compliance one-pagers; conference collateral,Randy Fernando (CEO),LinkedIn,High,,Prev founded Vault (Acorns) and Power (Marqeta)
39,C - Funded startup,TYBR Health,B3 GEL System - protects tendons from post-surgical scarring,"Houston, TX",$30M Series A,Jul 2026,Clinical data viz; surgeon sales decks; medical affairs slides,Head of Commercial,LinkedIn,Medium,,
40,C - Funded startup,Alta,AI system of actions for go-to-market teams,"Tel Aviv, Israel",$25M Series A,Jul 2026,Sales decks,Head of Marketing,LinkedIn,Medium,,They sell to GTM teams - deck is the proof
41,C - Funded startup,Dili,AI-native compliance for US infrastructure buildout,"New York, NY",$15M Series A led by Khosla Ventures,Jul 2026,Enterprise sales decks; regulatory one-pagers,Founder / Head of GTM,LinkedIn,Medium,,YC-backed
42,C - Funded startup,Healia,Healthcare benefits platform for dual-income families/employers,"Columbus, OH",$14M Series A,Jul 2026,Employer/broker sales decks; benefits explainers; plan data viz,Head of Marketing,LinkedIn,Medium,,
43,C - Funded startup,Discern Security,AI-native security workspace,"Sunnyvale, CA",$13M Series A,Jul 2026,Security-buyer decks; booth collateral; threat data viz,Head of Marketing,LinkedIn,Medium,,
44,C - Funded startup,Sent,Unified messaging API platform,"New York, NY",$12M Series A,Jul 2026,Developer decks; API one-pagers; integration diagrams,Founder / DevRel,LinkedIn,Medium,,
45,C - Funded startup,AGent Energy,Energy technology,US,$11M Series Seed,Aug 2026,Utility/partner decks; project one-pagers; technical data viz,Founder,LinkedIn,Medium,,
46,C - Funded startup,Discern,Software-first registered agent platform,"Dover, DE",$10M Series A,Jul 2026,Legal/ops buyer decks; comparison one-pagers,Head of Marketing,LinkedIn,Medium,,
47,C - Funded startup,Edgify,Edge AI infrastructure for physical retail,UK / Israel,$9M Series A+,10 Aug 2026,Retail buyer decks; expansion collateral; deployment data viz,Head of Marketing,LinkedIn,High,,Expanding into new industries
48,C - Funded startup,Cytix,Change-risk management for AI-driven software development risk,"Manchester, UK",$7M Series A led by Northern Gritstone,12 Aug 2026,Enterprise/regulated-buyer sales decks,Ben Armstrong (CEO),LinkedIn,High,,Capital earmarked for moving upmarket
49,C - Funded startup,Jusfy,AI-native legal OS + embedded legal fintech,"Sao Paulo, Brazil",Series A co-led by Thomson Reuters Ventures and Quona,Jul 2026,Law-firm sales decks; bilingual PT/EN decks,Founder,LinkedIn,Medium,,
50,C - Funded startup,Endra,SaaS platform,-,$20M Seed,2026,Sales decks; category collateral,Head of Marketing,LinkedIn,Medium,,Verify details before contact
51,C - Funded startup,June AI,Autonomous AI agents for enterprise system implementation,"New York, NY",$20M Pre-seed led by TIME Ventures (Marc Benioff),Aug 2026,Enterprise-grade sales collateral,Founder,LinkedIn,High,,Also Michael Dell / Diane Greene / Aaron Levie
52,C - Funded startup,Alloy Robotics,AI agents that debug robot fleets,Sydney AU -> US,$8M Seed led by Square Peg at $80M valuation,11 Aug 2026,US market-entry collateral; engineer sales decks; technical data viz,Founder,LinkedIn,High,,Angels from OpenAI/Anthropic/Tesla/Waymo
53,C - Funded startup,Reservoir,Predictive heat-pump water heaters as grid storage,"Charlestown, MA",$8M Seed led by Asymmetric Capital Partners,12 Aug 2026,Utility partner decks; homeowner one-pagers; installer leave-behinds,Luke Winston-Almanzar (CEO),LinkedIn,High,,Expanding Boston metro -> new US metros
54,C - Funded startup,Discovered Materials,AI agents discovering materials for semiconductor chips,"San Francisco, CA",$9M Seed,Aug 2026,Semiconductor-buyer decks; R&D data viz,Founder,LinkedIn,Medium,,
55,C - Funded startup,Intelligence (Design Arena),Crowdsourced benchmarking for AI-generated visual design,"San Francisco, CA",$7.9M Seed,Aug 2026,Benchmark data viz; category-defining decks,Founder,LinkedIn,Medium,,Design-native buyer - craft is the pitch
56,C - Funded startup,Inevitable AI Group (IAIG),AI-native venture studio building/launching software companies,"Tel Aviv, Israel",$6M Pre-seed,Aug 2026,Full deck sets for each company they launch,Founder / Studio Lead,LinkedIn,High,,HIGHEST REPEAT VALUE IN SEGMENT
57,C - Funded startup,BioScout,AI early-warning for airborne crop disease,"Sydney, Australia",A$6.75M / $4.8M Seed co-led by Demea and Astanor,Aug 2026,Grower one-pagers; Europe & Brazil market-entry decks; agronomy data viz,Dr. Lewis Collins (Founder/CEO),LinkedIn,High,,Scaling 250 -> 1000 sensors by 2029
58,C - Funded startup,Osmo Studio,Studio / product company,-,$5M Seed (Bain Capital Ventures),5 Aug 2026,Brand and product launch collateral,Founder,LinkedIn,Medium,,Verify details before contact
59,C - Funded startup,Macrodata Labs,Infrastructure software for physical-AI training data,"Paris, France",$4M Pre-seed led by Air Street Capital,Jul 2026,Technical sales decks; developer collateral,Founder,LinkedIn,Medium,,
60,C - Funded startup,Palette,Operating system for AI-native teams,Europe,EUR 3M Pre-seed,11 Aug 2026,Category-definition deck; early sales collateral,Founder,LinkedIn,Medium,,
61,C - Funded startup,Hulp,AI personal assistance and concierge platform,"New Delhi, India",$2.6M Seed,Aug 2026,Consumer brand collateral; partner decks,Founder,LinkedIn,Medium,,
62,C - Funded startup,Lemma,Production monitoring for AI agents,US,$2.3M Pre-seed (Matrix / YC / Liquid 2),7 Aug 2026,Developer sales decks,Jerry Zhang / Cole Gawin (co-founders),LinkedIn,Medium,,YC network = warm second door
63,C - Funded startup,Wayy.ai,AI sales co-founder platform for solopreneurs,"San Francisco, CA",$2M Pre-seed led by 0 to 1 Ventures,Aug 2026,SMB funnel collateral,Leo Popov (Founder),LinkedIn,Medium,,Sells sales tooling - deck must model good selling
64,C - Funded startup,ETN,Livestreamed media networks / broadcasting software,"London, UK",$1.6M Seed,Aug 2026,Sponsorship decks and rate cards + investor collateral,Founder,LinkedIn,Medium,,Media company - dual fit
65,C - Funded startup,Shiplog,Customer intelligence infrastructure for B2B SaaS,"Paris, France",$1M Pre-seed (Kima Ventures / Station F Fund),4 Aug 2026,First real sales deck,Khushi Mehta / Mehdi Gribaa (co-founders),LinkedIn,Medium,,Station F network = warm second door
66,C - Funded startup,Kinematic Trees,Robotics intelligence platform,UK,GBP 585K Pre-seed,29 Jul 2026,Seed pitch deck,Founder,LinkedIn,Medium,,Small raise = fundraising again soon; PITCH DECK angle works here
67,D - VC/Accelerator,Y Combinator,Largest accelerator (~1000 companies/yr),Mountain View / SF,S26 Demo Day 10 Sep 2026 SF (~1000 investors; 1-2 min per company),10 Sep 2026,Demo-day deck support - target S26 batch founders directly,S26 batch founders,LinkedIn,High,,Target founders not YC itself
68,D - VC/Accelerator,Techstars,Global accelerator network,"Boulder, CO / global",Tokyo Class of 2026 (12 companies) kicked off 17 Aug; Demo Day 10 Nov 2026,17 Aug 2026,Demo-day deck support; preferred vendor status,Managing Director (per city),LinkedIn,High,,Spring 2026: Belfast/Baltimore/Chicago/Denver/LA/NYC/Omaha/Tuscaloosa
69,D - VC/Accelerator,Decile Group / VC Lab,Venture fund accelerator (34 active Fund I/II/III; $280M+ AUM),Remote / global,Cohort consists of emerging managers raising Fund I with LP decks,2026,LP DECK DESIGN - highest-value least-served category,Programme Lead,LinkedIn,High,,Median US VC fund fell to $15.3M in Q1 2026
70,D - VC/Accelerator,Precursor Ventures,Pre-seed/seed firm (cheques up to $500k),"San Francisco, CA",Reviews every pitch received; no warm intro required,2026,Portfolio deck referrals; LP materials,Charles Hudson (GP),LinkedIn,Medium,,Unusually open door
71,D - VC/Accelerator,Hustle Fund,Pre-seed fund ($250k-$500k cheques),SF Bay Area,~60 pre-seed investments in 2025 - very high founder throughput,2026,Portfolio deck referrals,Partner / Platform Lead,LinkedIn,Medium,,Focus on underrepresented founders
72,D - VC/Accelerator,Antler,Day-zero investor ($100k-$190k for 10-12%; 30+ locations),Singapore / global,Continuous global cohorts; US March 2026 round closed with more opening,2026,Pre-idea cohort deck support,Partner / Programme Director,LinkedIn,Medium,,
73,D - VC/Accelerator,500 Global,Global VC & accelerator,"Palo Alto, CA",Batch 37 Q1 2026 ($150K for 6%); also runs Sanabil Accelerator,2026,Demo-day deck support across two programme families,Programme Director,LinkedIn,Medium,,
74,D - VC/Accelerator,MassChallenge,Zero-equity accelerator ($200k+ prizes),Boston / Switzerland / Israel / Texas,Rolling applications; 4-month programmes,2026,Cohort deck support,Programme Director,LinkedIn,Medium,,Zero equity = founders keep budget for services
75,D - VC/Accelerator,gener8tor,US accelerator network,"Milwaukee, WI / multi-city",Named among active 2026 US accelerator programmes,2026,Cohort deck support,Programme Manager,LinkedIn,Low,,
76,D - VC/Accelerator,2048 Ventures,Active pre-seed firm,US,Named among 2026 pre-seed partners engaging founders early,2026,Portfolio deck referrals,Partner,LinkedIn,Low,,
76b,D - VC/Accelerator,Black Operator Ventures,Active pre-seed firm,US,Named among 2026 pre-seed partners engaging founders early,2026,Portfolio deck referrals,Partner,LinkedIn,Low,,
77,E - Events,RSAC Conference,Cybersecurity conference,"Moscone Center, San Francisco",RSAC 2027 sponsorship opportunities live; reps assigned by company-name range,5-8 Apr 2027,Sponsorship prospectus; exhibitor brochure; sponsor recap deck,Sponsorship Sales / Marketing Director,Email + LinkedIn,High,,
78,E - Events,NHIA (National Home Infusion Association),Healthcare association conference,US,2026 exhibit hall SOLD OUT; 2027 booths not yet on sale,2026 -> 2027,2027 prospectus; waitlist and upsell collateral,"Andrea Schermerhorn, Sr. Sales Manager",Email nhia@discoversb.com / (301) 658-2042,High,,Sold-out = strong demand signal
79,E - Events,Web Summit,Global tech conference,Lisbon + Vancouver,Actively recruiting partners via dedicated partnerships team,9-12 Nov 2026 / 25-28 May 2027,Partner prospectus; exhibitor packs; post-event sponsor reports,Partnerships / Event Partners team,Email + LinkedIn,Medium,,Vancouver absorbed former Collision
80,E - Events,SHRM,HR association annual conference,US,Live sponsorship programme at annual.shrm.org/sponsorships,2026,Prospectus; exhibitor collateral,Sponsorship Manager,Email + LinkedIn,Medium,,
81,E - Events,AAAS,Science association annual meeting,US,2027 Expo Application & Prospectus published,2027,Prospectus redesign; exhibitor floorplan graphics,Meetings / Exhibits Manager,Email meetings@aaas.org,Medium,,
82,E - Events,AOTA,Occupational therapy association (INSPIRE 2027),US,2027 exhibitor & sponsor prospectus PDF already published,2027,Prospectus redesign; sponsor tier one-pagers,Exhibits / Corporate Relations Manager,Email + LinkedIn,Medium,,
83,E - Events,AAPOR,Public opinion research association,US,Exhibitor & Sponsor Prospectus page live,2026/27,Prospectus; sponsor tiers; DATA VIZ upsell,Conference / Sponsorship Manager,Email + LinkedIn,Medium,,Survey-research body = strong data viz fit
84,E - Events,Outdoor Economy Conference,Outdoor industry conference,US,A-la-carte and custom sponsorships available,2026/27,Custom sponsorship packages; prospectus,Noah Wilson,Email noah@mountainbizworks.org,Medium,,
85,E - Events,The Funders Network,Philanthropy network conference,"Oakland, CA",Call for proposals open; programme being built; prospectus follows,15-17 Mar 2027,Prospectus; programme design,Conference Director,Email + LinkedIn,Medium,,Doorway into Segment G
86,E - Events,TESOL International Association,Language teaching association,US,2027 sponsor & exhibitor prospectus published (June 2026 proof),2027,Prospectus; floorplan; sponsor decks,Exhibits Manager,Email + LinkedIn,Low,,
87,F - Sports/Esports,FaZe Clan,Global esports & lifestyle organisation,US,DROPPED from EWC 2026 Club Partner Programme - lost six-figure guaranteed base,~Apr 2026,Sponsorship sales deck for non-endemic brands; audience data viz,Head of Partnerships / CRO,LinkedIn,High,,EWC programme worth $20M/yr total
88,F - Sports/Esports,Karmine Corp,French esports organisation,France,DROPPED from EWC 2026 Club Partner Programme,~Apr 2026,Sponsorship deck (FR/EN); audience data one-pagers,Head of Partnerships,LinkedIn,High,,
89,F - Sports/Esports,LOUD,Brazilian esports & content organisation,Brazil,DROPPED from EWC 2026 Club Partner Programme,~Apr 2026,Sponsorship deck (PT/EN); creator-audience data viz,Head of Partnerships,LinkedIn,High,,
90,F - Sports/Esports,Movistar KOI,Spanish esports organisation,Spain,DROPPED from EWC 2026 Club Partner Programme,~Apr 2026,Sponsorship deck (ES/EN); renewal collateral,Head of Partnerships,LinkedIn,Medium,,
91,F - Sports/Esports,Team BDS,Swiss esports organisation,Switzerland,DROPPED from EWC 2026 Club Partner Programme,~Apr 2026,Sponsorship deck; partner one-pagers,Head of Partnerships,LinkedIn,Medium,,
92,F - Sports/Esports,NRG,US esports & entertainment organisation,US,NEWLY ADDED to EWC 2026 partner programme,2026,Partner activation decks; upsell collateral,Head of Partnerships,LinkedIn,Medium,,
93,F - Sports/Esports,Team Heretics,New 2026 EWC partner club,Spain,Newly added to EWC 2026 partner programme,2026,Sponsorship deck (local language); announcement collateral,Head of Partnerships,LinkedIn,Medium,,
93b,F - Sports/Esports,Fluxo W7M,New 2026 EWC partner club,Brazil,Newly added to EWC 2026 partner programme,2026,Sponsorship deck (PT/EN); announcement collateral,Head of Partnerships,LinkedIn,Medium,,
93c,F - Sports/Esports,9z Globant,New 2026 EWC partner club,Argentina,Newly added to EWC 2026 partner programme,2026,Sponsorship deck (ES/EN); announcement collateral,Head of Partnerships,LinkedIn,Medium,,
93d,F - Sports/Esports,GAM Esports,New 2026 EWC partner club,Vietnam,Newly added to EWC 2026 partner programme,2026,Sponsorship deck; announcement collateral,Head of Partnerships,LinkedIn,Medium,,
93e,F - Sports/Esports,Titan Esports Club,New 2026 EWC partner club,China,Newly added to EWC 2026 partner programme,2026,Sponsorship deck; announcement collateral,Head of Partnerships,LinkedIn,Medium,,
94,F - Sports/Esports,Excel Sports Management,Talent & sports agency (Properties division),NYC / West Hollywood,Hiring sponsorship sales executives for Properties - division being scaled,2026,Property sales decks; rights-holder pitch decks,VP Partnerships / Properties Lead,LinkedIn,Medium,,
95,F - Sports/Esports,Sporting Kansas City,MLS club,"Kansas City, MO",Hiring Director Corporate Partnership Sales (5+ yrs) - scaling sponsorship function,2026,Sponsorship sales decks; tiered partnership one-pagers; renewal recaps,Director/VP Corporate Partnerships,LinkedIn,Medium,,
96,G - Nonprofit,The Rockefeller Foundation,Global foundation,"New York, NY",One year into a five-year $1B strategy - annual progress reporting obligation,2026,Impact reports; strategy progress data viz; convening decks,Director of Communications / Creative Director,LinkedIn + Email,Medium,,Energy/food/health/finance/economic opportunity
97,G - Nonprofit,Ford Foundation,Foundation (~$600M grants FY2025),"New York, NY",Large recurring grant programme with annual reporting obligation,2026,Annual report; grantee impact reports; data viz,Director of Communications,LinkedIn + Email,Medium,,Focus on fighting inequality
98,G - Nonprofit,San Diego Foundation,Community foundation,"San Diego, CA","Report built around ""Fifty & Forward"" multi-year campaign",2026,Campaign case for support; donor decks; annual report,VP Marketing & Communications,LinkedIn + Email,Medium,,
99,G - Nonprofit,The Kresge Foundation,National foundation,"Troy, MI","""Pathbreakers"" report is a multi-format storytelling platform",2026,Report design; data viz; multi-format layouts,Director of Communications,LinkedIn + Email,Medium,,Sophisticated buyer already investing in report design
100,G - Nonprofit,Bonterra,Social-good technology company,US,Publishes interactive customer impact report; sells to thousands of nonprofits,2026,Impact report; customer story one-pagers; sales decks,Director of Brand / Content,LinkedIn,Medium,,Also a referral channel into the whole sector
