row,section,company,sector_hq,trigger_dated,pitch_this_person,what_they_own,what_to_sell,odds
193,"A. Just raised, and the founder still owns the story",Savvy Wealth,"Wealth management tech, US","$100m Series C, 9 September 2026, led by Halo Fund, co-founded by Ryan Smith and Ryan Sweeney. $600m valuation, over $200m total. AI-native RIA for independent advisors.","Ritik Malhotra, founder and CEO",Growth depends entirely on recruiting independent advisors away from incumbents. Most firms hand an advisor the investor deck and lose them in the second meeting.,"The advisor recruitment deck, which is a career pitch and not a product pitch",Fair
194,"A. Just raised, and the founder still owns the story",Upwind,"Cloud security, US and Israel","$250m Series B, 26 January 2026, led by Bessemer with Salesforce Ventures and Picture Capital. $1.5bn valuation, $430m total. 900% year-on-year revenue growth. Customers include Siemens, Peloton, Roku, Wix, Nextdoor and Nubank. Shachar previously sold Spot.io to NetApp for about $450m.","Amiram Shachar, co-founder and CEO","Eight months past the raise, so brand is likely staffed by now. The gap at 900% growth is usually enterprise sales collateral, not brand.","Enterprise and customer-story decks. Go via sales, not brand.",Fair
195,"A. Just raised, and the founder still owns the story",Lila Sciences,"Scientific AI, Cambridge MA","Series A now $350m total, after a $235m round and a further Nvidia-backed $115m. Valuation reported above $1.3bn. Flagship Pioneering company.","Geoffrey von Maltzahn, PhD, CEO","Nobody outside the field will read the paper, and everybody now wants the explanation: investors, partners, recruits, press. That is a slide problem before it is a science problem.",The version a smart generalist can retell after one pass,Fair
196,"A. Just raised, and the founder still owns the story",Stipple Bio,"Healthtech, US","$100m Series A, reported as the largest healthtech Series A of 2026, led by Jeff Landau.",Founder and CEO. Name not verified here.,"Young company, very large first round, complex science. Same explaining problem as Lila.",Scientific narrative decks for investors and partners,Fair
197,"A. Just raised, and the founder still owns the story",CurifyLabs,"Pharmacy compounding tech, Finland","$14m Series A, 2026.",Founder and CEO. Name not verified here.,"Regulated European market, small round, realistic project sizes for a solo freelancer.",Regulated sales collateral in several European languages,Fair
198,"A. Just raised, and the founder still owns the story",01Health,"Healthtech, Europe","$15m Series A, June 2026.",Founder and CEO. Name not verified here.,"Three months past the raise, which is inside the window.",First proper sales and investor collateral,Fair
199,"A. Just raised, and the founder still owns the story",Knight FinTech,"Banking technology, India",$23.6m Series A led by Accel.,Founder and CEO. Name not verified here.,"Selling core banking technology to banks, which is the most conservative buyer in existence. Decks have to carry the credibility the brand cannot yet.",Bank-facing sales decks,Fair
200,"A. Just raised, and the founder still owns the story",Equal Parts,"InsurTech, US","$23m Series A, February 2026.",Founder and CEO. Name not verified here.,"Seven months out, so the window is closing. Check for a marketing hire before writing.",Partner and broker collateral,Fair
201,"A. Just raised, and the founder still owns the story",Fintary,"AI InsurTech, US",$10m Series A.,Founder and CEO. Name not verified here.,Commission and reconciliation products are dull to describe and valuable to buy. That gap is exactly where design earns money.,Explaining a boring product memorably,Fair
202,"A. Just raised, and the founder still owns the story",ViteSicure,"InsurTech, Italy","EUR 2.5m Series A, May 2026.",Founder and CEO. Name not verified here.,"Small company, small round, Italian-language collateral. Modest budget, quick decision, low competition.",Italian sales collateral,Fair
203,"A. Just raised, and the founder still owns the story",Enzo,"InsurTech, Germany","EUR 4m, January 2026.",Founder and CEO. Name not verified here.,"Early-stage German insurance. Germany is an opt-in jurisdiction, so LinkedIn only, never cold email.",Early-stage German collateral,Fair
204,B. Rebrand or repositioning in flight,Skyro,"Digital finance, Philippines, expanding to Saudi Arabia","Refreshed identity began rolling out 15 September 2026, redesigned app in the Philippines first, ""ahead of a wider rollout across all markets"". Over 7 million users, credit portfolio above $200m, operating break-even in H1 2026. Saudi expansion announced August.","Arsen Liametov, co-founder and co-CEO, who is quoted saying the rebrand ""reflects the strategy and ambition behind Skyro's next chapter""","A market-by-market identity rollout. The collateral gap will repeat in every new country, and Saudi Arabia is next.","A template set that survives translation and a new market, built before market two rather than after market three",Good
205,B. Rebrand or repositioning in flight,Oneview Healthcare,"Hospital digital care, Ireland, US, Australia","Brand identity refresh with new logo, palette and typography, May 2026. Also launched Ovie, a unified digital care assistant, in February 2026.","Rachel Broghammer, Marketing Director, who is quoted in the rebrand announcement. James Fitter is CEO.","Title is Marketing Director rather than CMO, which usually means a small team. A rebrand plus a product launch in the same year, on one marketing team.","Sales decks and product one-pagers rebuilt on the new identity, with the Ovie launch collateral alongside",Good
206,B. Rebrand or repositioning in flight,CardWorks Financial Group,"Credit and payments, US","Rebranded from CardWorks, Inc., ""unifying its businesses under a new visual identity"".","Marketing lead. Not named in what was found, so verify.",Several business units being pulled under one identity. Every unit arrives with its own decks and its own reading of the brand.,"A master template system, which is the only thing that ends a multi-unit rebrand",Fair
207,B. Rebrand or repositioning in flight,The Bancorp,"Fintech banking, US","New brand unveiled at a Nasdaq opening-bell ceremony, 13 January 2026, positioned around fintech partnership plus payments and lending.",Marketing Communications lead. Not named.,"Eight months in. The obvious work is done and the long tail is showing: partner decks, lending collateral, RFP documents.","The long tail, specifically the documents nobody remembered",Fair
208,B. Rebrand or repositioning in flight,Dana-Farber Cancer Institute and The Jimmy Fund,"Academic cancer center and its fundraising brand, Boston",Both debuted new visual identities in September 2026.,Start on the Jimmy Fund side. Fundraising teams move faster than institutes and have deadlines they cannot move.,A fundraising brand mid-rebrand with a donor calendar already locked. Every proposal and donor deck in circulation carries the old mark.,"Donor decks, sponsorship proposals, impact reporting, event collateral",Good
209,B. Rebrand or repositioning in flight,Ticketsolve,"Arts and culture SaaS, Ireland and UK","Refined visual system and messaging to reposition ""from ticketing software to growth partner for arts and culture organisations"".",Marketing lead. Not named.,"A repositioning, not a logo change. Every sales deck now has to argue a different case. That is narrative work and it pays better than layout.","Rebuilding the sales argument, not just the slides",Fair
210,B. Rebrand or repositioning in flight,NextGen Healthcare,"Ambulatory practice software, US","New brand identity launched 13 April 2026, framed around moving from ""a system of record to a system of context and action"".","Summer Nilson, Creative Director of Marketing, quoted in the announcement. Srinivas (Sri) Velamoor is President and CEO.","Honest flag: an in-house Creative Director means internal capacity exists. Pitch overflow and peak weeks, never replacement.",Overflow on a large ambulatory sales collateral estate,Long
211,C. Product launch or market expansion,FINNY,"Advisor growth AI, US","Launched Hunter, an AI agent positioned as a Chief Growth Officer for advisors, April 2026, then FINNY for Enterprise Teams in June 2026. Brand refresh delivered with the agency Little Plains. Series A of $17m co-led by Venrock, with William McNabb, Activant, Jason Wenk and Y Combinator.","Eden Ovadia, co-founder and CEO. Victoria Toli is co-founder and president.","Brand work is taken, so do not pitch brand. Two product launches in three months is an enterprise sales collateral problem.",Enterprise deck for FINNY for Enterprise Teams. Say nothing about their identity.,Fair
212,C. Product launch or market expansion,Tabby,"Payments beyond BNPL, Saudi Arabia and UAE","$233m, 14 September 2026, at a $6.5bn valuation, Series F led by Blue Pool Capital with HSG, Wellington Management and Arbor Ventures. Explicitly moving beyond buy-now-pay-later.","Hosam Arab, co-founder and CEO",Repositioning a $6.5bn company away from the single product it is known for. That is a narrative problem at scale.,"Long odds at this size, but the Gulf market has far fewer specialist deck freelancers competing. Worth one well-aimed message.",Long
213,C. Product launch or market expansion,PrescriberPoint,"Healthtech, US startup","Hiring a senior marketing design lead to build a brand system, which means no brand system exists yet.",Founder or Head of Marketing. Not named.,A startup with no brand system and a stated intention to build one.,Brand system foundations and the sales decks that hang off them. Do not reference the job posting.,Good
214,C. Product launch or market expansion,SOPHiA GENETICS,"Genomics, Switzerland, listed","Building platform design for ""regulated HealthTech and MedTech environments where users are domain experts"".",Marketing or Design lead. Not named.,"Selling to expert users means data-dense slides, which is a specialism you can charge a premium for.",Complex data made readable without being dumbed down,Fair
215,C. Product launch or market expansion,Cylake,"Technology, US","$245m round, September 2026.",Not researched in depth.,"Large round, recent. Research before writing.",Unknown. Verify first.,Long
216,C. Product launch or market expansion,Qupital,"Fintech, Hong Kong",Named in 14 September 2026 funding news. Round size not confirmed here.,Not researched in depth.,"Asia Pacific, which is thin on this list and thin on freelance deck competition.",Unknown. Verify first.,Fair
217,C. Product launch or market expansion,Fortaegis,Fintech,Named in 14 September 2026 funding news. Round size not confirmed here.,Not researched in depth.,Same as above.,Unknown. Verify first.,Fair
218,"D. Private equity backed, or post management buyout",Starpeak,"Specialist digital insurance MGA, UK","Management buyout backed by August Equity, announced July to August 2026. Founder Julian Hucks, who started the business in 1991, stepped back into an ambassadorial role. Peter Thompson, formerly CEO of BGL Group, appointed Chair.","Andy Brownsell, CEO. Peter Thompson as Chair is a credible second door.",A 35-year-old business under new ownership with a new Chair from a much larger group. The presentation standard just moved.,Broker-facing collateral and the investor reporting pack a PE owner now expects quarterly,Good
219,"E. Named revenue executives, for sales collateral specifically",Q2 Holdings,"Digital banking and lending, US, listed","Mike Volanoski appointed Chief Revenue Officer, tasked with driving growth strategy and strengthening market leadership.","Mike Volanoski, CRO",A new CRO at a public company has roughly two quarters to show a changed sales motion. Sales collateral is the fastest visible lever they control.,"A sales deck system reps actually use, and the reason they currently do not",Fair
220,"E. Named revenue executives, for sales collateral specifically",Financial Information Technologies (Fintech),"Payments for beverage alcohol, US","Joel Pearson appointed Chief Revenue Officer, July 2026.","Joel Pearson, CRO","Same pattern. Two months in at time of writing, which is the ideal moment: still forming the plan, not yet committed to a vendor.",Sales enablement collateral built for the plan they are still writing,Good
221,"F. Sector events, played from the sponsor side",HLTH USA 2026,"15 to 18 November 2026, Las Vegas","950+ sponsors and exhibitors, 12,250+ healthcare decision makers",Sponsor and exhibitor list,"950+ sponsors and exhibitors, 12,250+ healthcare decision makers",Exhibitor list is published. Work it from late September. Cross-reference it against sections A and B of this list and you will find companies appearing twice.,Fair
222,"F. Sector events, played from the sponsor side",ViVE 2027,"14 to 17 March 2027, Nashville","Digital health decision makers, sponsorship brochure behind a form",Sponsor and exhibitor list,"Digital health decision makers, sponsorship brochure behind a form",Exhibitor list publishes early. January and February is the window.,Fair
223,"F. Sector events, played from the sponsor side",Fintech Meetup 2027,2027,Bills itself as the largest meetings programme in fintech,Sponsor and exhibitor list,Bills itself as the largest meetings programme in fintech,"The entire event is scheduled one-to-one meetings, so every single attendee needs a short sharp deck. Best structural fit of any event here.",Fair
